"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
501325	5	endanger	危険にさらす	to put someone or something in danger	Smoke can endanger your health.	煙はあなたの健康を危険にさらすことがある。	verb	5	3	""[""""危険にさらす"""",""""改善する"""",""""支える"""",""""発見する"""",""""修理する""""]""	""[""""endanger"""",""""improve"""",""""support"""",""""discover"""",""""repair""""]""	""[""""endanger"""",""""engage"""",""""encourage"""",""""enjoy"""",""""enter""""]""	""[{""""word"""":""""risk"""",""""note"""":""""文脈によって近い""""}]""	""[{""""word"""":""""protect"""",""""note"""":""""守る""""}]"""
501326	5	deposit	預金する	to put money into a bank	I deposit some money every month.	私は毎月いくらかのお金を預金する。	verb	5	3	""[""""預金する"""",""""借りる"""",""""使う"""",""""集める"""",""""隠す""""]""	""[""""deposit"""",""""borrow"""",""""spend"""",""""collect"""",""""hide""""]""	""[""""deposit"""",""""depend"""",""""depart"""",""""desert"""",""""describe""""]""	""[{""""word"""":""""save"""",""""note"""":""""お金をためる意味で近い""""}]""	""[{""""word"""":""""withdraw"""",""""note"""":""""口座からお金を引き出す""""}]"""
501327	5	extinguish	消す	to stop a fire or light from burning	Please extinguish the campfire before you leave.	帰る前にたき火を消してください。	verb	5	2	""[""""消す"""",""""集める"""",""""壊す"""",""""運ぶ"""",""""隠す""""]""	""[""""extinguish"""",""""collect"""",""""destroy"""",""""carry"""",""""hide""""]""	""[""""extinguish"""",""""distinguish"""",""""astonish"""",""""exchange"""",""""establish""""]""	""[{""""word"""":""""put out"""",""""note"""":""""fire や light を消すときによく使う""""}]""	""[{""""word"""":""""light"""",""""note"""":""""火や明かりをつける""""}]"""
501328	5	furnish	備え付ける	to provide furniture or needed things	They will furnish the room with new chairs.	彼らはその部屋に新しいいすを備え付けるでしょう。	verb	5	2	""[""""備え付ける"""",""""片付ける"""",""""修理する"""",""""洗う"""",""""閉める""""]""	""[""""furnish"""",""""clean"""",""""repair"""",""""wash"""",""""close""""]""	""[""""furnish"""",""""finish"""",""""burnish"""",""""vanish"""",""""polish""""]""	""[{""""word"""":""""provide"""",""""note"""":""""より広い意味で「与える」""""}]""	""[{""""word"""":""""remove"""",""""note"""":""""取り除く""""}]"""
501329	5	burial	埋葬	the act of putting a dead body into the ground	The burial was held on a rainy day.	埋葬は雨の日に行われました。	noun	5	2	""[""""埋葬"""",""""誕生"""",""""結婚"""",""""旅行"""",""""到着""""]""	""[""""burial"""",""""birth"""",""""marriage"""",""""travel"""",""""arrival""""]""	""[""""burial"""",""""serial"""",""""cereal"""",""""barrier"""",""""burden""""]""	""[{""""word"""":""""funeral"""",""""note"""":""""葬式全体を指すことが多い""""}]""	[]"
501330	5	inquiry	問い合わせ	a question asking for information	We received an inquiry about the tour.	私たちはそのツアーについての問い合わせを受けました。	noun	5	3	""[""""問い合わせ"""",""""招待"""",""""提案"""",""""予約"""",""""配達""""]""	""[""""inquiry"""",""""invitation"""",""""suggestion"""",""""reservation"""",""""delivery""""]""	""[""""inquiry"""",""""injury"""",""""increase"""",""""entry"""",""""memory""""]""	""[{""""word"""":""""question"""",""""note"""":""""より広い意味の「質問」""""},{""""word"""":""""request"""",""""note"""":""""情報や助けを求めるときにも使う""""}]""	[]"
501331	5	wit	機知	the ability to say clever and funny things	Her wit made everyone laugh.	彼女の機知がみんなを笑わせた。	noun	6	2	""[""""機知"""",""""勇気"""",""""忍耐"""",""""誠実さ"""",""""好奇心""""]""	""[""""wit"""",""""courage"""",""""patience"""",""""honesty"""",""""curiosity""""]""	""[""""wit"""",""""wish"""",""""win"""",""""wet"""",""""wait""""]""	""[{""""word"""":""""humor"""",""""note"""":""""おかしさ全般。wit は気の利いたおもしろさ""""}]""	[]"
501332	5	glimpse	ちらりと見ること	a quick look at something	I caught a glimpse of the bird.	私はその鳥をちらりと見た。	noun	5	3	""[""""ちらりと見ること"""",""""長い観察"""",""""深い理解"""",""""大きな変化"""",""""静かな休み""""]""	""[""""glimpse"""",""""stare"""",""""understanding"""",""""change"""",""""rest""""]""	""[""""glimpse"""",""""glass"""",""""glove"""",""""grin"""",""""glad""""]""	""[{""""word"""":""""look"""",""""note"""":""""glimpse は「ちらっと見ること」""""},{""""word"""":""""peek"""",""""note"""":""""すばやくのぞく感じ""""}]""	[]"
501333	5	cite	引用する	to mention words or ideas from a book or person	Please cite your source in the report.	レポートで出典を引用してください。	verb	4	2	""[""""引用する"""",""""説明する"""",""""比較する"""",""""翻訳する"""",""""記録する""""]""	""[""""cite"""",""""explain"""",""""compare"""",""""translate"""",""""record""""]""	""[""""cite"""",""""site"""",""""side"""",""""sight"""",""""size""""]""	""[{""""word"""":""""quote"""",""""note"""":""""言葉をそのまま引くときによく使う""""}]""	[]"
501334	5	radar	レーダー	a system that finds things by using radio waves	The ship used radar in the fog.	その船は霧の中でレーダーを使った。	noun	3	3	""[""""レーダー"""",""""エンジン"""",""""ブレーキ"""",""""ハンドル"""",""""モーター""""]""	""[""""radar"""",""""engine"""",""""brake"""",""""handle"""",""""motor""""]""	""[""""radar"""",""""reader"""",""""rider"""",""""ladder"""",""""rather""""]""	[]	[]"
501335	5	upbringing	しつけ	the way a child is taught and raised	Her strict upbringing shaped her manners.	彼女の厳しいしつけが、彼女の礼儀作法を形作った。	noun	5	2	""[""""しつけ"""",""""教育"""",""""経験"""",""""習慣"""",""""性格""""]""	""[""""upbringing"""",""""education"""",""""experience"""",""""habit"""",""""character""""]""	""[""""upbringing"""",""""offspring"""",""""uplifting"""",""""beginning"""",""""spring""""]""	""[{""""word"""":""""raising"""",""""note"""":""""子どもを育てることという意味で近い""""}]""	[]"
501336	5	by chance	偶然に	without planning or meaning to	I met my teacher by chance at the station.	私は駅で偶然に先生に会った。	adverb	4	3	""[""""偶然に"""",""""静かに"""",""""突然"""",""""直接"""",""""すぐに""""]""	""[""""by chance"""",""""quietly"""",""""suddenly"""",""""directly"""",""""soon""""]""	""[""""by chance"""",""""my change"""",""""buy chains"""",""""bright dance"""",""""big chance""""]""	""[{""""word"""":""""accidentally"""",""""note"""":""""より1語で言う形""""}]""	""[{""""word"""":""""on purpose"""",""""note"""":""""わざと""""}]"""
501337	5	spectrum	範囲	a wide range of different things	The class includes a wide spectrum of opinions.	その授業には幅広い意見の範囲が含まれている。	noun	5	2	""[""""範囲"""",""""中心"""",""""結果"""",""""方法"""",""""表面""""]""	""[""""spectrum"""",""""center"""",""""result"""",""""method"""",""""surface""""]""	""[""""spectrum"""",""""section"""",""""special"""",""""system"""",""""shelter""""]""	""[{""""word"""":""""range"""",""""note"""":""""意味の幅という点で近い""""}]""	[]"
501338	5	exceptional	並外れた	much better than usual	She has exceptional musical talent.	彼女には並外れた音楽の才能がある。	adjective	5	2	""[""""並外れた"""",""""普通の"""",""""危険な"""",""""静かな"""",""""正直な""""]""	""[""""exceptional"""",""""ordinary"""",""""dangerous"""",""""quiet"""",""""honest""""]""	""[""""exceptional"""",""""acceptable"""",""""special"""",""""national"""",""""educational""""]""	""[{""""word"""":""""excellent"""",""""note"""":""""とてもすぐれた""""},{""""word"""":""""outstanding"""",""""note"""":""""特に目立ってすぐれた""""}]""	""[{""""word"""":""""ordinary"""",""""note"""":""""普通の""""},{""""word"""":""""common"""",""""note"""":""""ありふれた""""}]"""
501339	5	turnover	売上高	the total money from sales in a business	The store's turnover increased this year.	その店の売上高は今年増えた。	noun	5	2	""[""""売上高"""",""""利益"""",""""費用"""",""""給料"""",""""借金""""]""	""[""""turnover"""",""""profit"""",""""cost"""",""""salary"""",""""debt""""]""	""[""""turnover"""",""""turning"""",""""takeover"""",""""turning point"""",""""worker""""]""	[]	[]"
501340	5	productivity	生産性	the rate of making goods or doing work well	New machines improved productivity at the factory.	新しい機械でその工場の生産性が向上した。	noun	5	2	""[""""生産性"""",""""人気"""",""""安全性"""",""""可能性"""",""""必要性""""]""	""[""""productivity"""",""""popularity"""",""""safety"""",""""possibility"""",""""necessity""""]""	""[""""productivity"""",""""activity"""",""""creativity"""",""""protective"""",""""production""""]""	[]	[]"
501341	5	percentage	割合	an amount shown as part of 100	A high percentage of students passed the test.	高い割合の生徒がそのテストに合格した。	noun	5	3	""[""""割合"""",""""合計"""",""""平均"""",""""結果"""",""""数量""""]""	""[""""percentage"""",""""total"""",""""average"""",""""result"""",""""amount""""]""	""[""""percentage"""",""""presentage"""",""""parentage"""",""""percent"""",""""passage""""]""	""[{""""word"""":""""rate"""",""""note"""":""""文脈によっては「割合」""""}]""	[]"
501342	5	attain	達成する	to succeed in getting something after trying	She worked hard to attain her goal.	彼女は目標を達成するために一生懸命努力した。	verb	6	2	""[""""達成する"""",""""防ぐ"""",""""集める"""",""""選ぶ"""",""""支える""""]""	""[""""attain"""",""""prevent"""",""""collect"""",""""choose"""",""""support""""]""	""[""""attain"""",""""obtain"""",""""again"""",""""attack"""",""""awake""""]""	""[{""""word"""":""""reach"""",""""note"""":""""目標などに届く""""},{""""word"""":""""obtain"""",""""note"""":""""手に入れる意味が強い""""}]""	[]"
501343	5	achieve	達成する	to succeed in doing or getting something	You can achieve your dream with hard work.	一生懸命努力すれば夢を達成できる。	verb	5	4	""[""""達成する"""",""""失う"""",""""断る"""",""""隠す"""",""""借りる""""]""	""[""""achieve"""",""""lose"""",""""refuse"""",""""hide"""",""""borrow""""]""	""[""""achieve"""",""""active"""",""""agree"""",""""arrive"""",""""believe""""]""	""[{""""word"""":""""accomplish"""",""""note"""":""""ややかたいが近い意味""""},{""""word"""":""""reach"""",""""note"""":""""goal などに使える""""}]""	""[{""""word"""":""""fail"""",""""note"""":""""達成できない""""}]"""
501344	5	ripe	熟した	ready to eat because it has fully grown	These bananas are ripe now.	これらのバナナは今、熟しています。	adjective	5	3	""[""""熟した"""",""""甘い"""",""""新鮮な"""",""""固い"""",""""酸っぱい""""]""	""[""""ripe"""",""""sweet"""",""""fresh"""",""""hard"""",""""sour""""]""	""[""""ripe"""",""""right"""",""""rice"""",""""ride"""",""""life""""]""	""[{""""word"""":""""mature"""",""""note"""":""""ややかたい語。十分に成長した""""}]""	""[{""""word"""":""""green"""",""""note"""":""""果物がまだ熟していない""""}]"""
501345	5	willingness	やる気	the feeling of being ready to do something	Her willingness to help made us happy.	彼女の手伝おうとする気持ちは私たちをうれしくさせました。	noun	7	2	""[""""やる気"""",""""勇気"""",""""人気"""",""""努力"""",""""経験""""]""	""[""""willingness"""",""""courage"""",""""popularity"""",""""effort"""",""""experience""""]""	""[""""willingness"""",""""wildness"""",""""weakness"""",""""business"""",""""kindness""""]""	""[{""""word"""":""""readiness"""",""""note"""":""""すぐにする用意がある気持ち""""}]""	""[{""""word"""":""""unwillingness"""",""""note"""":""""したくない気持ち""""}]"""
501346	5	be prepared for	～に備えている	to be ready for something	We should be prepared for heavy rain.	私たちは大雨に備えているべきです。	verb	6	3	""[""""～に備えている"""",""""～を待っている"""",""""～を探している"""",""""～を恐れている"""",""""～に驚いている""""]""	""[""""be prepared for"""",""""wait for"""",""""look for"""",""""be afraid of"""",""""be surprised at""""]""	""[""""be prepared for"""",""""be careful of"""",""""be famous for"""",""""be ready for"""",""""be sorry for""""]""	""[{""""word"""":""""be ready for"""",""""note"""":""""ほぼ同じ意味の基本表現""""}]""	[]"
501347	5	concrete	具体的な	clear and real, not vague	Please give me a concrete example.	具体的な例を私に示してください。	adjective	5	3	""[""""具体的な"""",""""抽象的な"""",""""重要な"""",""""簡単な"""",""""正確な""""]""	""[""""concrete"""",""""abstract"""",""""important"""",""""simple"""",""""exact""""]""	""[""""concrete"""",""""complete"""",""""compete"""",""""connect"""",""""correct""""]""	""[{""""word"""":""""specific"""",""""note"""":""""よりはっきり限定された語""""},{""""word"""":""""clear"""",""""note"""":""""意味がわかりやすいときにも使う""""}]""	""[{""""word"""":""""abstract"""",""""note"""":""""抽象的な""""}]"""
501348	5	entity	存在	something that exists as a separate thing	The company became a separate legal entity.	その会社は独立した法的存在になった。	noun	6	2	""[""""存在"""",""""組織"""",""""制度"""",""""証拠"""",""""方法""""]""	""[""""entity"""",""""organization"""",""""system"""",""""evidence"""",""""method""""]""	""[""""entity"""",""""energy"""",""""entry"""",""""enemy"""",""""empty""""]""	[]	[]"
501349	5	authentic	本物の	real and not fake	This restaurant serves authentic Italian food.	このレストランは本物のイタリア料理を出す。	adjective	5	3	""[""""本物の"""",""""偽物の"""",""""有名な"""",""""伝統的な"""",""""高価な""""]""	""[""""authentic"""",""""fake"""",""""famous"""",""""traditional"""",""""expensive""""]""	""[""""authentic"""",""""authority"""",""""automatic"""",""""athletic"""",""""artistic""""]""	""[{""""word"""":""""genuine"""",""""note"""":""""偽物ではないという意味で近い""""},{""""word"""":""""real"""",""""note"""":""""最も基本的な類義語""""}]""	""[{""""word"""":""""fake"""",""""note"""":""""偽物の""""}]"""
501350	5	incentive	動機づけ	something that encourages a person to do something	Money can be a strong incentive to work hard.	お金は一生懸命働くための強い動機づけになり得る。	noun	5	2	""[""""動機づけ"""",""""努力"""",""""結果"""",""""方法"""",""""責任""""]""	""[""""incentive"""",""""effort"""",""""result"""",""""method"""",""""duty""""]""	""[""""incentive"""",""""intensive"""",""""inventive"""",""""incident"""",""""inside""""]""	""[{""""word"""":""""motivation"""",""""note"""":""""より一般的な「やる気・動機」""""}]""	""[{""""word"""":""""discouragement"""",""""note"""":""""やる気をなくさせるもの""""}]"""
501351	5	uprising	反乱	an act of fighting against a government or ruler	The people started an uprising against the king.	人々は王に対して反乱を起こした。	noun	5	2	""[""""反乱"""",""""平和"""",""""法律"""",""""会議"""",""""貿易""""]""	""[""""uprising"""",""""peace"""",""""law"""",""""meeting"""",""""trade""""]""	""[""""uprising"""",""""upset"""",""""upright"""",""""surprising"""",""""opening""""]""	""[{""""word"""":""""revolt"""",""""note"""":""""やや短く一般的な語""""}]""	[]"
501352	5	come into	手に入れる	to get something such as money or property	She came into a lot of money last year.	彼女は去年たくさんのお金を手に入れた。	verb	5	2	""[""""手に入れる"""",""""失う"""",""""借りる"""",""""送る"""",""""選ぶ""""]""	""[""""come into"""",""""lose"""",""""borrow"""",""""send"""",""""choose""""]""	""[""""come into"""",""""come over"""",""""come back"""",""""come from"""",""""come out""""]""	""[{""""word"""":""""obtain"""",""""note"""":""""ややかたい語""""}]""	""[{""""word"""":""""lose"""",""""note"""":""""手に入れる↔失う""""}]"""
501353	5	rust	さび	a red-brown substance on old iron or steel	The old bike was covered with rust.	その古い自転車はさびでおおわれていた。	noun	5	3	""[""""さび"""",""""ほこり"""",""""どろ"""",""""きず"""",""""よごれ""""]""	""[""""rust"""",""""dust"""",""""mud"""",""""scratch"""",""""stain""""]""	""[""""rust"""",""""rush"""",""""rest"""",""""roast"""",""""must""""]""	[]	[]"
501354	5	copper	銅	a red-brown metal used for wires and coins	This wire is made of copper.	この針金は銅でできている。	noun	5	3	""[""""銅"""",""""鉄"""",""""銀"""",""""金"""",""""鉛""""]""	""[""""copper"""",""""iron"""",""""silver"""",""""gold"""",""""lead""""]""	""[""""copper"""",""""proper"""",""""cover"""",""""corner"""",""""soccer""""]""	[]	[]"
501355	5	cut down	切り倒す	to make something fall by cutting it	They cut down the old tree.	彼らはその古い木を切り倒した。	verb	5	4	""[""""切り倒す"""",""""植える"""",""""運ぶ"""",""""持ち上げる"""",""""洗う""""]""	""[""""cut down"""",""""plant"""",""""carry"""",""""lift"""",""""wash""""]""	""[""""cut down"""",""""come down"""",""""put down"""",""""shut out"""",""""calm down""""]""	""[{""""word"""":""""chop down"""",""""note"""":""""木などを切り倒すときに使う""""}]""	""[{""""word"""":""""plant"""",""""note"""":""""木を植える""""}]"""
501356	5	umpire	審判	a person who judges a sports game	The umpire stopped the game for a moment.	その審判はしばらく試合を止めた。	noun	5	2	""[""""審判"""",""""選手"""",""""監督"""",""""観客"""",""""記者""""]""	""[""""umpire"""",""""player"""",""""coach"""",""""referee"""",""""captain""""]""	""[""""umpire"""",""""empire"""",""""inspire"""",""""upstairs"""",""""unfair""""]""	""[{""""word"""":""""referee"""",""""note"""":""""より広くスポーツの審判に使う""""}]""	[]"
501357	5	stubborn	頑固な	not willing to change your mind	He is too stubborn to say sorry.	彼は謝るには頑固すぎる。	adjective	5	3	""[""""頑固な"""",""""親切な"""",""""正直な"""",""""静かな"""",""""勇敢な""""]""	""[""""stubborn"""",""""kind"""",""""honest"""",""""quiet"""",""""brave""""]""	""[""""stubborn"""",""""student"""",""""sudden"""",""""southern"""",""""station""""]""	""[{""""word"""":""""hard-headed"""",""""note"""":""""ややくだけた言い方""""}]""	""[{""""word"""":""""flexible"""",""""note"""":""""考えを変えられる""""}]"""
501358	5	Europe	ヨーロッパ	the continent west of Asia	My aunt traveled around Europe last summer.	私のおばは去年の夏にヨーロッパを旅行した。	noun	4	4	""[""""ヨーロッパ"""",""""アジア"""",""""アフリカ"""",""""北アメリカ"""",""""南アメリカ""""]""	""[""""Europe"""",""""Asia"""",""""Africa"""",""""America"""",""""Australia""""]""	""[""""Europe"""",""""you up"""",""""yellow"""",""""unit"""",""""yogurt""""]""	[]	[]"
501359	5	thermal	熱の	related to heat	The jacket gives good thermal protection.	そのジャケットは優れた断熱効果がある。	adjective	5	2	""[""""熱の"""",""""電気の"""",""""化学の"""",""""自然の"""",""""医学の""""]""	""[""""thermal"""",""""electric"""",""""chemical"""",""""natural"""",""""medical""""]""	""[""""thermal"""",""""formal"""",""""normal"""",""""terminal"""",""""journal""""]""	[]	[]"
501360	5	technological	技術の	related to technology	Technological change is very fast today.	今日では技術の変化はとても速い。	adjective	6	3	""[""""技術の"""",""""文化の"""",""""歴史の"""",""""政治の"""",""""農業の""""]""	""[""""technological"""",""""cultural"""",""""historical"""",""""political"""",""""agricultural""""]""	""[""""technological"""",""""ecological"""",""""geological"""",""""logical"""",""""practical""""]""	[]	[]"
501361	5	environmental	環境の	related to the natural world	We discussed environmental problems in class.	私たちは授業で環境問題について話し合った。	adjective	5	4	""[""""環境の"""",""""経済の"""",""""社会の"""",""""個人の"""",""""国際の""""]""	""[""""environmental"""",""""economic"""",""""social"""",""""personal"""",""""international""""]""	""[""""environmental"""",""""experimental"""",""""governmental"""",""""fundamental"""",""""accidental""""]""	[]	[]"
501362	5	graphic	生々しい	very clear and shocking in detail	The movie showed a graphic scene of the accident.	その映画は事故の生々しい場面を映した。	adjective	5	3	""[""""生々しい"""",""""穏やかな"""",""""簡単な"""",""""正確な"""",""""伝統的な""""]""	""[""""graphic"""",""""calm"""",""""simple"""",""""exact"""",""""traditional""""]""	""[""""graphic"""",""""traffic"""",""""gravity"""",""""grant"""",""""grape""""]""	""[{""""word"""":""""vivid"""",""""note"""":""""はっきりした描写の意味で近い""""}]""	""[{""""word"""":""""vague"""",""""note"""":""""はっきりしない""""}]"""
501363	5	in connection with	〜に関連して	related to something	He spoke in connection with the school event.	彼は学校行事に関連して話した。	preposition	5	3	""[""""〜に関連して"""",""""〜の代わりに"""",""""〜の前に"""",""""〜のおかげで"""",""""〜から離れて""""]""	""[""""in connection with"""",""""instead of"""",""""before"""",""""thanks to"""",""""away from""""]""	""[""""in connection with"""",""""in comparison with"""",""""in condition for"""",""""in contact with"""",""""in control of""""]""	""[{""""word"""":""""related to"""",""""note"""":""""よりやさしい言い方""""}]""	[]"
501364	5	in proportion to	〜に比例して	changing at the same rate as something	The price rises in proportion to demand.	価格は需要に比例して上がる。	preposition	5	2	""[""""〜に比例して"""",""""〜とは別に"""",""""〜の代わりに"""",""""〜に反して"""",""""〜の近くで""""]""	""[""""in proportion to"""",""""apart from"""",""""instead of"""",""""against"""",""""near""""]""	""[""""in proportion to"""",""""in addition to"""",""""in relation to"""",""""in response to"""",""""in contrast to""""]""	""[{""""word"""":""""according to"""",""""note"""":""""文脈によって近いが意味は少し広い""""}]""	""[{""""word"""":""""regardless of"""",""""note"""":""""〜に関係なく""""}]"""
501365	5	make yourself at home	くつろいでください	used to tell someone to relax and feel comfortable	Please make yourself at home in our living room.	どうぞ私たちの居間でくつろいでください。	phrase	5	3	""[""""くつろいでください"""",""""急いでください"""",""""静かにしてください"""",""""手伝ってください"""",""""待ってください""""]""	""[""""make yourself at home"""",""""take your time"""",""""be quiet"""",""""help yourself"""",""""wait a minute""""]""	""[""""make yourself at home"""",""""make yourself known"""",""""take your time"""",""""wait at the door"""",""""stay in the room""""]""	""[{""""word"""":""""relax"""",""""note"""":""""意味が近い基本表現""""}]""	[]"
501366	5	at ease	くつろいで	feeling relaxed and comfortable	She felt at ease with her new classmates.	彼女は新しいクラスメートといてくつろいでいた。	adjective	5	3	""[""""くつろいで"""",""""緊張して"""",""""退屈して"""",""""怒って"""",""""驚いて""""]""	""[""""at ease"""",""""nervous"""",""""bored"""",""""angry"""",""""surprised""""]""	""[""""at ease"""",""""as is"""",""""at sea"""",""""easy"""",""""eat""""]""	""[{""""word"""":""""relaxed"""",""""note"""":""""より一般的な語""""}]""	""[{""""word"""":""""nervous"""",""""note"""":""""緊張している""""}]"""
501367	5	ritual	儀式	a set of actions done in the same way for a special reason	The wedding ritual was beautiful.	その結婚式の儀式は美しかった。	noun	5	2	""[""""儀式"""",""""習慣"""",""""約束"""",""""試合"""",""""旅行""""]""	""[""""ritual"""",""""custom"""",""""promise"""",""""match"""",""""trip""""]""	""[""""ritual"""",""""virtual"""",""""river"""",""""little"""",""""return""""]""	""[{""""word"""":""""ceremony"""",""""note"""":""""より一般的に使う""""}]""	[]"
501368	5	lease	賃貸契約	a contract to use a house, room, or land for money	They signed a lease for the apartment.	彼らはそのアパートの賃貸契約に署名した。	noun	5	3	""[""""賃貸契約"""",""""修理"""",""""引っ越し"""",""""家賃"""",""""家具""""]""	""[""""lease"""",""""repair"""",""""move"""",""""rent"""",""""furniture""""]""	""[""""lease"""",""""least"""",""""rice"""",""""peace"""",""""reach""""]""	""[{""""word"""":""""rental agreement"""",""""note"""":""""より説明的な言い方""""}]""	[]"
501369	5	tenant	借家人	a person who pays to live in a house or apartment	The tenant pays rent every month.	その借家人は毎月家賃を払う。	noun	5	3	""[""""借家人"""",""""家主"""",""""客"""",""""店員"""",""""隣人""""]""	""[""""tenant"""",""""owner"""",""""guest"""",""""clerk"""",""""neighbor""""]""	""[""""tenant"""",""""tennis"""",""""talent"""",""""ticket"""",""""tunnel""""]""	""[{""""word"""":""""renter"""",""""note"""":""""日常会話でよく使う""""}]""	""[{""""word"""":""""landlord"""",""""note"""":""""家を貸す側""""}]"""
501370	5	renovation	改装	the work of improving an old building or room	The kitchen is closed for renovation.	その台所は改装のため閉まっている。	noun	5	2	""[""""改装"""",""""建設"""",""""掃除"""",""""予約"""",""""配達""""]""	""[""""renovation"""",""""construction"""",""""cleaning"""",""""reservation"""",""""delivery""""]""	""[""""renovation"""",""""reservation"""",""""relation"""",""""recreation"""",""""reduction""""]""	""[{""""word"""":""""remodeling"""",""""note"""":""""形や中を変える改装""""}]""	[]"
501371	5	take the place of	〜に取って代わる	to replace someone or something	Computers may take the place of paper books in the future.	将来、コンピューターが紙の本に取って代わるかもしれない。	verb	5	3	""[""""〜に取って代わる"""",""""〜を支える"""",""""〜を修理する"""",""""〜を運ぶ"""",""""〜を集める""""]""	""[""""take the place of"""",""""support"""",""""repair"""",""""carry"""",""""collect""""]""	""[""""take the place of"""",""""take care of"""",""""take part in"""",""""take off"""",""""take out""""]""	""[{""""word"""":""""replace"""",""""note"""":""""より短く一般的な語""""}]""	[]"
501372	5	thesis	論文	a long piece of writing based on study	She is writing her thesis at the library.	彼女は図書館で論文を書いている。	noun	6	2	""[""""論文"""",""""小説"""",""""記事"""",""""手紙"""",""""日記""""]""	""[""""thesis"""",""""novel"""",""""article"""",""""letter"""",""""diary""""]""	""[""""thesis"""",""""thirty"""",""""theater"""",""""teacher"""",""""thirsty""""]""	[]	[]"
501373	5	esteem	尊敬する	to respect someone highly	Many students esteem their coach for his kindness.	多くの生徒は、その親切さゆえにコーチを尊敬している。	verb	6	2	""[""""尊敬する"""",""""無視する"""",""""疑う"""",""""助ける"""",""""招く""""]""	""[""""esteem"""",""""ignore"""",""""doubt"""",""""help"""",""""invite""""]""	""[""""esteem"""",""""steam"""",""""team"""",""""seem"""",""""stone""""]""	""[{""""word"""":""""respect"""",""""note"""":""""最も基本的な類義語""""}]""	""[{""""word"""":""""despise"""",""""note"""":""""強い反対語。軽蔑する""""}]"""
501374	5	be liable for	責任がある	to be legally responsible for something	The company may be liable for the damage.	その会社はその損害に責任があるかもしれない。	verb	5	2	""[""""責任がある"""",""""許可される"""",""""満足している"""",""""準備ができている"""",""""興味がある""""]""	""[""""be liable for"""",""""be allowed to"""",""""be satisfied with"""",""""be ready for"""",""""be interested in""""]""	""[""""be liable for"""",""""be reliable for"""",""""be likely for"""",""""be ready for"""",""""be sorry for""""]""	""[{""""word"""":""""be responsible for"""",""""note"""":""""より一般的な表現""""}]""	[]"
501375	5	be limited to	〜に限られる	to be only for a certain thing or group	The sale will be limited to members.	そのセールは会員に限られます。	verb	5	2	""[""""〜に限られる"""",""""〜に参加する"""",""""〜を含む"""",""""〜を変える"""",""""〜を広げる""""]""	""[""""be limited to"""",""""belong to"""",""""be made of"""",""""be known for"""",""""be filled with""""]""	""[""""be limited to"""",""""be related to"""",""""be invited to"""",""""be used to"""",""""be ready to""""]""	[]	""[{""""word"""":""""include"""",""""note"""":""""含める""""},{""""word"""":""""be open to"""",""""note"""":""""広く受け入れる""""}]"""
501376	5	pension	年金	money paid regularly to a person after retirement	My grandfather gets a pension every month.	私の祖父は毎月年金を受け取ります。	noun	5	3	""[""""年金"""",""""給料"""",""""賞金"""",""""家賃"""",""""運賃""""]""	""[""""pension"""",""""salary"""",""""prize"""",""""rent"""",""""fare""""]""	""[""""pension"""",""""mention"""",""""tension"""",""""lesson"""",""""patient""""]""	[]	[]"
501377	5	bring back	持ち帰る	to take something back to a place	Please bring back my book tomorrow.	明日、私の本を持ち帰ってきてください。	verb	5	3	""[""""持ち帰る"""",""""借りる"""",""""送る"""",""""見つける"""",""""売る""""]""	""[""""bring back"""",""""borrow"""",""""send"""",""""find"""",""""sell""""]""	""[""""bring back"""",""""bring bag"""",""""blink back"""",""""bring black"""",""""bring bank""""]""	""[{""""word"""":""""return"""",""""note"""":""""返すという意味で近い""""}]""	[]"
501378	5	recovery	回復	the process of getting better again	His recovery was faster than we expected.	彼の回復は私たちが予想したより速かった。	noun	5	3	""[""""回復"""",""""失敗"""",""""発見"""",""""変化"""",""""出発""""]""	""[""""recovery"""",""""failure"""",""""discovery"""",""""change"""",""""departure""""]""	""[""""recovery"""",""""delivery"""",""""discovery"""",""""remember"""",""""recover""""]""	[]	[]"
501379	5	uncover	明らかにする	to find and show something hidden	The report helped uncover the truth.	その報告書は真実を明らかにするのに役立った。	verb	5	2	""[""""明らかにする"""",""""隠す"""",""""集める"""",""""防ぐ"""",""""比べる""""]""	""[""""uncover"""",""""hide"""",""""collect"""",""""prevent"""",""""compare""""]""	""[""""uncover"""",""""discover"""",""""recover"""",""""under"""",""""cover""""]""	""[{""""word"""":""""reveal"""",""""note"""":""""少しかたいが近い意味""""}]""	""[{""""word"""":""""hide"""",""""note"""":""""隠す""""}]"""
